allocation_group,allocation_group_quality,dc_start,allocated_units,dc_remaining,rows_in_group,eligible_rows_in_group,cycles_run,partial_used,over_allocated,stop_reason,trace_truncated
1947204,item,3000.0,395.0,2605.0,74,74,80,False,False,best score below threshold (0.007 < 0.400),False
1962647,item,588.0,48.0,540.0,4,4,5,False,False,best score below threshold (0.004 < 0.400),False
1000815,item,34.0,8.0,26.0,5,5,5,False,False,best score below threshold (0.032 < 0.400),False
1008192,item,43.0,14.0,29.0,5,5,8,False,False,best score below threshold (0.001 < 0.400),False
1866181,item,167.0,96.0,71.0,12,12,9,False,False,best score below threshold (0.001 < 0.400),False
1995065,item,750.0,131.0,619.0,131,131,132,False,False,best score below threshold (0.001 < 0.400),False
1833767,item,43.0,20.0,23.0,11,11,6,False,False,best score below threshold (0.000 < 0.435),False
1946812,item,540.0,144.0,396.0,10,10,9,False,False,best score below threshold (0.031 < 0.435),False
1918085,item,36.0,30.0,6.0,6,6,6,False,False,best score below threshold (0.001 < 0.435),False
1942440,item,456.0,132.0,324.0,13,13,12,False,False,best score below threshold (0.001 < 0.435),False
1942441,item,696.0,264.0,432.0,38,38,23,False,False,best score below threshold (0.022 < 0.435),False
1531518,item,311.0,7.0,304.0,6,6,8,False,False,best score below threshold (0.308 < 0.400),False
1915397,item,180.0,6.0,174.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1915399,item,601.0,18.0,583.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1868549,item,288.0,36.0,252.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1475912,item,22.0,6.0,16.0,3,3,4,False,False,best score below threshold (0.001 < 0.400),False
1528514,item,8.0,8.0,0.0,5,5,1,False,False,DC exhausted,False
1963406,item,4768.0,48.0,4720.0,6,6,7,False,False,best score below threshold (0.000 < 0.400),False
1296738,item,696.0,72.0,624.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1376548,item,376.0,72.0,304.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1497406,item,775.0,72.0,703.0,3,3,4,False,False,best score below threshold (0.004 < 0.400),False
1837084,item,406.0,110.0,296.0,44,44,56,False,False,best score below threshold (0.019 < 0.400),False
1837085,item,403.0,76.0,327.0,33,33,39,False,False,best score below threshold (0.086 < 0.400),False
1960237,item,115.0,42.0,73.0,8,8,8,False,False,best score below threshold (0.006 < 0.435),False
1960241,item,36.0,6.0,30.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
100081,item,87.0,24.0,63.0,5,5,7,False,False,best score below threshold (0.001 < 0.400),False
100827,item,42.0,12.0,30.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
100833,item,180.0,60.0,120.0,6,6,6,False,False,best score below threshold (0.000 < 0.400),False
100840,item,76.0,8.0,68.0,16,16,3,False,False,best score below threshold (0.000 < 0.400),False
100907,item,150.0,30.0,120.0,5,5,6,False,False,best score below threshold (0.001 < 0.400),False
102186,item,747.0,120.0,627.0,12,12,6,False,False,best score below threshold (0.103 < 0.400),False
102986,item,397.0,60.0,337.0,18,18,31,False,False,best score below threshold (0.311 < 0.400),False
103319,item,246.0,42.0,204.0,7,7,8,False,False,best score below threshold (0.000 < 0.400),False
103324,item,120.0,36.0,84.0,3,3,4,False,False,best score below threshold (0.003 < 0.400),False
107332,item,24.0,24.0,0.0,3,3,2,False,False,DC exhausted,False
1002120,item,12.0,12.0,0.0,2,2,1,False,False,DC exhausted,False
1122669,item,222.0,18.0,204.0,5,5,4,False,False,best score below threshold (0.013 < 0.400),False
1238280,item,383.0,36.0,347.0,6,6,7,False,False,best score below threshold (0.242 < 0.400),False
1257290,item,255.0,116.0,139.0,26,26,30,False,False,best score below threshold (0.038 < 0.400),False
1384894,item,188.0,52.0,136.0,12,12,14,False,False,best score below threshold (0.000 < 0.400),False
1489608,item,44.0,12.0,32.0,3,3,3,False,False,best score below threshold (0.003 < 0.400),False
1564192,item,171.0,12.0,159.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1623369,item,258.0,60.0,198.0,15,15,16,False,False,best score below threshold (0.001 < 0.400),False
1721305,item,55.0,6.0,49.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1721310,item,351.0,36.0,315.0,17,17,10,False,False,best score below threshold (0.012 < 0.400),False
