allocation_group,allocation_group_quality,dc_start,allocated_units,dc_remaining,rows_in_group,eligible_rows_in_group,cycles_run,partial_used,over_allocated,stop_reason,trace_truncated
1446448,item,76.0,46.0,30.0,43,43,24,False,False,best score below threshold (0.048 < 0.400),False
1490937,item,1067.0,114.0,953.0,47,47,115,False,False,best score below threshold (0.302 < 0.400),False
1910233,item,732.0,27.0,705.0,18,18,28,False,False,best score below threshold (0.269 < 0.400),False
1910236,item,533.0,11.0,522.0,7,7,12,False,False,best score below threshold (0.006 < 0.400),False
1915129,item,429.0,18.0,411.0,15,15,19,False,False,best score below threshold (0.067 < 0.400),False
1915130,item,21.0,21.0,0.0,22,22,21,False,False,DC exhausted,False
1698526,item,127.0,23.0,104.0,13,13,24,False,False,best score below threshold (0.152 < 0.400),False
1623374,item,522.0,30.0,492.0,4,4,6,False,False,best score below threshold (0.000 < 0.400),False
1870612,item,857.0,68.0,789.0,34,34,35,False,False,best score below threshold (0.354 < 0.400),False
1270533,item,393.0,156.0,237.0,24,24,27,False,False,best score below threshold (0.002 < 0.400),False
1276966,item,16.0,2.0,14.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1519357,item,19.0,1.0,18.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1545854,item,17.0,2.0,15.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1629321,item,4.0,2.0,2.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1703390,item,6.0,4.0,2.0,5,5,5,False,False,best score below threshold (0.194 < 0.400),False
1703391,item,11.0,4.0,7.0,3,3,5,False,False,best score below threshold (0.020 < 0.400),False
1703398,item,2.0,2.0,0.0,1,1,2,False,False,DC exhausted,False
1703407,item,4.0,3.0,1.0,3,3,4,False,False,best score below threshold (0.006 < 0.400),False
1890039,item,17.0,3.0,14.0,2,2,4,False,False,best score below threshold (0.003 < 0.400),False
1448721,item,693.0,468.0,225.0,36,36,40,False,False,best score below threshold (0.094 < 0.400),False
1900075,item,904.0,768.0,136.0,137,137,97,False,False,best score below threshold (0.265 < 0.435),False
1944130,item,212.0,0.0,212.0,4,4,1,False,False,no eligible row above threshold,False
1426932,item,28.0,23.0,5.0,15,15,24,False,False,best score below threshold (0.093 < 0.400),False
1627588,item,31.0,22.0,9.0,15,15,23,False,False,best score below threshold (0.008 < 0.400),False
1872042,item,24.0,19.0,5.0,13,13,20,False,False,best score below threshold (0.024 < 0.435),False
1757908,item,30.0,9.0,21.0,6,6,10,False,False,best score below threshold (0.004 < 0.400),False
1776689,item,107.0,5.0,102.0,2,2,6,False,False,best score below threshold (0.006 < 0.400),False
1671405,item,180.0,70.0,110.0,34,34,71,False,False,best score below threshold (0.031 < 0.400),False
1671406,item,197.0,43.0,154.0,23,23,44,False,False,best score below threshold (0.240 < 0.400),False
1782923,item,106.0,40.0,66.0,8,8,11,False,False,best score below threshold (0.000 < 0.400),False
1782926,item,263.0,20.0,243.0,4,4,6,False,False,best score below threshold (0.000 < 0.400),False
1912387,item,182.0,46.0,136.0,27,27,47,False,False,best score below threshold (0.209 < 0.400),False
1912388,item,95.0,35.0,60.0,16,16,36,False,False,best score below threshold (0.358 < 0.400),False
1629420,item,1.0,1.0,0.0,1,1,1,False,False,DC exhausted,False
1750960,item,551.0,224.0,327.0,45,45,57,False,False,best score below threshold (0.201 < 0.400),False
1750973,item,217.0,172.0,45.0,35,35,44,False,False,best score below threshold (0.001 < 0.400),False
1808292,item,315.0,186.0,129.0,37,37,32,False,False,best score below threshold (0.006 < 0.435),False
1994601,item,390.0,90.0,300.0,15,15,16,False,False,best score below threshold (0.001 < 0.400),False
1994602,item,482.0,18.0,464.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1436688,item,17.0,7.0,10.0,7,7,8,False,False,best score below threshold (0.145 < 0.400),False
1436710,item,6.0,1.0,5.0,3,3,2,False,False,best score below threshold (0.000 < 0.400),False
1503352,item,12.0,3.0,9.0,2,2,4,False,False,best score below threshold (0.002 < 0.400),False
1503356,item,20.0,7.0,13.0,6,6,8,False,False,best score below threshold (0.176 < 0.400),False
1503357,item,25.0,8.0,17.0,8,8,9,False,False,best score below threshold (0.184 < 0.400),False
1503361,item,9.0,6.0,3.0,11,11,7,False,False,best score below threshold (0.008 < 0.400),False
1503365,item,21.0,13.0,8.0,10,10,14,False,False,best score below threshold (0.013 < 0.400),False
1526954,item,1.0,1.0,0.0,1,1,1,False,False,DC exhausted,False
1562462,item,29.0,2.0,27.0,2,2,3,False,False,best score below threshold (0.001 < 0.400),False
1644677,item,28.0,2.0,26.0,2,2,3,False,False,best score below threshold (0.045 < 0.400),False
1644685,item,29.0,3.0,26.0,2,2,4,False,False,best score below threshold (0.000 < 0.400),False
1644691,item,29.0,2.0,27.0,2,2,3,False,False,best score below threshold (0.001 < 0.400),False
1644694,item,28.0,3.0,25.0,2,2,4,False,False,best score below threshold (0.000 < 0.400),False
1824810,item,13.0,10.0,3.0,10,10,10,False,False,best score below threshold (0.130 < 0.400),False
1824813,item,20.0,4.0,16.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1824821,item,2.0,2.0,0.0,1,1,1,False,False,DC exhausted,False
1824826,item,11.0,7.0,4.0,7,7,6,False,False,best score below threshold (0.365 < 0.400),False
1824829,item,21.0,6.0,15.0,3,3,4,False,False,best score below threshold (0.001 < 0.400),False
1914583,item,35.0,7.0,28.0,5,5,8,False,False,best score below threshold (0.245 < 0.400),False
1914590,item,27.0,5.0,22.0,4,4,6,False,False,best score below threshold (0.003 < 0.400),False
1395270,item,215.0,72.0,143.0,12,12,13,False,False,best score below threshold (0.000 < 0.400),False
1395271,item,36.0,30.0,6.0,6,6,6,False,False,best score below threshold (0.000 < 0.400),False
1395273,item,163.0,163.0,0.0,30,30,28,True,False,DC exhausted,False
1464935,item,240.0,192.0,48.0,34,34,33,False,False,best score below threshold (0.343 < 0.400),False
1984062,item,180.0,36.0,144.0,7,7,7,False,False,best score below threshold (0.156 < 0.400),False
1462450,item,31.0,26.0,5.0,33,33,14,False,False,best score below threshold (0.412 < 0.435),False
1925600,item,238.0,64.0,174.0,22,22,33,False,False,best score below threshold (0.076 < 0.400),False
1925601,item,122.0,54.0,68.0,20,20,28,False,False,best score below threshold (0.292 < 0.400),False
1925602,item,191.0,60.0,131.0,14,14,31,False,False,best score below threshold (0.294 < 0.400),False
1290971,item,710.0,18.0,692.0,8,8,10,False,False,best score below threshold (0.001 < 0.400),False
100922,item,59.0,48.0,11.0,8,8,9,False,False,best score below threshold (0.001 < 0.400),False
100924,item,19.0,15.0,4.0,8,8,6,False,False,best score below threshold (0.001 < 0.435),False
100925,item,94.0,9.0,85.0,3,3,4,False,False,best score below threshold (0.002 < 0.400),False
100929,item,20.0,10.0,10.0,8,8,11,False,False,best score below threshold (0.006 < 0.400),False
1177782,item,9.0,2.0,7.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1868723,item,104.0,60.0,44.0,30,30,61,False,False,best score below threshold (0.184 < 0.400),False
1764727,item,2.0,1.0,1.0,1,1,2,False,False,best score below threshold (0.002 < 0.400),False
102093,item,1094.0,222.0,872.0,34,34,38,False,False,best score below threshold (0.001 < 0.400),False
1801103,item,342.0,268.0,74.0,101,101,68,False,False,best score below threshold (0.161 < 0.435),False
1408102,item,88.0,46.0,42.0,22,22,24,False,False,best score below threshold (0.188 < 0.400),False
1627354,item,30.0,22.0,8.0,14,14,12,False,False,best score below threshold (0.025 < 0.400),False
1739471,item,35.0,22.0,13.0,13,13,23,False,False,best score below threshold (0.189 < 0.400),False
1871603,item,46.0,42.0,4.0,39,39,22,False,False,best score below threshold (0.008 < 0.435),False
100664,item,216.0,72.0,144.0,6,6,7,False,False,best score below threshold (0.000 < 0.400),False
100665,item,354.0,62.0,292.0,25,25,32,False,False,best score below threshold (0.196 < 0.400),False
1447520,item,361.0,266.0,95.0,83,83,134,False,False,best score below threshold (0.263 < 0.400),False
1503071,item,208.0,90.0,118.0,14,14,16,False,False,best score below threshold (0.001 < 0.400),False
1538120,item,96.0,76.0,20.0,43,43,39,False,False,best score below threshold (0.235 < 0.400),False
1869515,item,95.0,84.0,11.0,60,60,43,False,False,best score below threshold (0.217 < 0.435),False
1181592,item,18.0,18.0,0.0,4,4,3,False,False,DC exhausted,False
1741651,item,63.0,20.0,43.0,8,8,11,False,False,best score below threshold (0.007 < 0.400),False
1741654,item,59.0,44.0,15.0,20,20,23,False,False,best score below threshold (0.001 < 0.400),False
1721382,item,463.0,47.0,416.0,72,72,48,False,False,best score below threshold (0.298 < 0.400),False
1721383,item,397.0,139.0,258.0,60,60,140,False,False,best score below threshold (0.383 < 0.400),False
1721386,item,757.0,187.0,570.0,67,67,188,False,False,best score below threshold (0.354 < 0.400),False
1830083,item,91.0,18.0,73.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1430909,item,19.0,2.0,17.0,2,2,3,False,False,best score below threshold (0.002 < 0.400),False
1475954,item,1.0,0.0,1.0,4,4,1,False,False,no eligible row above threshold,False
1133649,item,1.0,1.0,0.0,1,1,1,False,False,DC exhausted,False
1503362,item,12.0,1.0,11.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1824812,item,24.0,4.0,20.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1824814,item,10.0,4.0,6.0,3,3,3,False,False,best score below threshold (0.036 < 0.400),False
1824828,item,19.0,1.0,18.0,1,1,2,False,False,best score below threshold (0.002 < 0.400),False
1914585,item,35.0,3.0,32.0,2,2,4,False,False,best score below threshold (0.000 < 0.400),False
1962362,item,29.0,4.0,25.0,2,2,5,False,False,best score below threshold (0.001 < 0.400),False
1999000,item,1123.0,0.0,1123.0,2,2,1,False,False,no eligible row above threshold,False
1462449,item,72.0,34.0,38.0,39,39,18,False,False,best score below threshold (0.023 < 0.400),False
1627759,item,96.0,70.0,26.0,42,42,36,False,False,best score below threshold (0.006 < 0.400),False
1627768,item,72.0,72.0,0.0,47,47,36,False,False,DC exhausted,False
1736850,item,74.0,60.0,14.0,64,64,31,False,False,best score below threshold (0.002 < 0.435),False
1808307,item,120.0,92.0,28.0,36,36,47,False,False,best score below threshold (0.004 < 0.400),False
1864886,item,180.0,124.0,56.0,88,88,63,False,False,best score below threshold (0.412 < 0.435),False
1864891,item,179.0,116.0,63.0,42,42,59,False,False,best score below threshold (0.006 < 0.400),False
1864893,item,180.0,152.0,28.0,68,68,77,False,False,best score below threshold (0.220 < 0.400),False
1983320,item,180.0,9.0,171.0,8,8,10,False,False,best score below threshold (0.001 < 0.400),False
1983321,item,240.0,39.0,201.0,21,21,40,False,False,best score below threshold (0.010 < 0.400),False
1983322,item,360.0,26.0,334.0,22,22,27,False,False,best score below threshold (0.001 < 0.400),False
1934405,item,1109.0,6.0,1103.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1934406,item,531.0,30.0,501.0,5,5,6,False,False,best score below threshold (0.000 < 0.400),False
1962446,item,21.0,2.0,19.0,2,2,3,False,False,best score below threshold (0.003 < 0.400),False
1962447,item,21.0,1.0,20.0,1,1,2,False,False,best score below threshold (0.002 < 0.400),False
1503353,item,6.0,2.0,4.0,6,6,3,False,False,best score below threshold (0.224 < 0.435),False
1914584,item,35.0,1.0,34.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1181589,item,90.0,6.0,84.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1296737,item,756.0,72.0,684.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1473945,item,462.0,24.0,438.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
100046,item,60.0,12.0,48.0,1,1,2,False,False,best score below threshold (0.001 < 0.400),False
100778,item,96.0,0.0,96.0,1,1,1,False,False,no eligible row above threshold,False
100804,item,204.0,60.0,144.0,10,10,11,False,False,best score below threshold (0.000 < 0.400),False
100810,item,56.0,12.0,44.0,4,4,2,False,False,best score below threshold (0.000 < 0.400),False
100829,item,132.0,12.0,120.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
100881,item,60.0,48.0,12.0,9,9,5,False,False,best score below threshold (0.001 < 0.400),False
100886,item,60.0,36.0,24.0,15,15,7,False,False,best score below threshold (0.331 < 0.400),False
100904,item,151.0,24.0,127.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
103305,item,108.0,36.0,72.0,11,11,4,False,False,best score below threshold (0.265 < 0.400),False
103316,item,145.0,12.0,133.0,2,2,2,False,False,best score below threshold (0.008 < 0.435),False
107325,item,24.0,24.0,0.0,2,2,2,False,False,DC exhausted,False
1447592,item,100.0,40.0,60.0,14,14,11,False,False,best score below threshold (0.000 < 0.400),False
1870611,item,49.0,24.0,25.0,6,6,5,False,False,best score below threshold (0.000 < 0.400),False
1870618,item,108.0,0.0,108.0,7,7,1,False,False,best score below threshold (0.011 < 0.400),False
1916197,item,1543.0,12.0,1531.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1921453,item,12.0,12.0,0.0,5,5,3,False,False,DC exhausted,False
1921454,item,32.0,28.0,4.0,7,7,8,False,False,best score below threshold (0.008 < 0.435),False
1922785,item,289.0,4.0,285.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1922788,item,342.0,32.0,310.0,13,13,9,False,False,best score below threshold (0.375 < 0.400),False
1519388,item,107.0,50.0,57.0,41,41,51,False,False,best score below threshold (0.170 < 0.400),False
1391268,item,54.0,48.0,6.0,8,8,9,False,False,best score below threshold (0.010 < 0.435),False
1994013,item,21.0,18.0,3.0,6,6,7,False,False,best score below threshold (0.001 < 0.400),False
1154241,item,2.0,2.0,0.0,4,4,2,False,False,DC exhausted,False
1474981,item,228.0,12.0,216.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1871142,item,162.0,92.0,70.0,131,131,47,False,False,best score below threshold (0.139 < 0.400),False
1871143,item,24.0,14.0,10.0,33,33,8,False,False,best score below threshold (0.005 < 0.435),False
1765293,item,49.0,15.0,34.0,11,11,16,False,False,best score below threshold (0.391 < 0.435),False
1415528,item,528.0,24.0,504.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1463341,item,312.0,12.0,300.0,2,2,2,False,False,best score below threshold (0.000 < 0.400),False
1620353,item,3141.0,24.0,3117.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1270040,item,186.0,90.0,96.0,35,35,16,False,False,best score below threshold (0.001 < 0.435),False
1387056,item,216.0,188.0,28.0,62,62,48,False,False,best score below threshold (0.259 < 0.400),False
1441919,item,216.0,196.0,20.0,55,55,50,False,False,best score below threshold (0.123 < 0.400),False
1460457,item,129.0,18.0,111.0,23,23,4,False,False,best score below threshold (0.069 < 0.435),False
1460459,item,113.0,36.0,77.0,6,6,7,False,False,best score below threshold (0.000 < 0.400),False
411680,item,315.0,130.0,185.0,30,30,27,False,False,best score below threshold (0.011 < 0.400),False
1274830,item,56.0,32.0,24.0,20,20,17,False,False,best score below threshold (0.118 < 0.400),False
1184292,item,14.0,10.0,4.0,5,5,6,False,False,best score below threshold (0.017 < 0.400),False
1307504,item,284.0,92.0,192.0,17,17,24,False,False,best score below threshold (0.011 < 0.400),False
1379089,item,1092.0,4.0,1088.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1532617,item,294.0,92.0,202.0,20,20,24,False,False,best score below threshold (0.080 < 0.400),False
1617612,item,71.0,24.0,47.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
1698582,item,19.0,8.0,11.0,12,12,5,False,False,best score below threshold (0.001 < 0.435),False
1967919,item,323.0,36.0,287.0,3,3,4,False,False,best score below threshold (0.002 < 0.400),False
1139276,item,262.0,24.0,238.0,8,8,13,False,False,best score below threshold (0.344 < 0.400),False
1407764,item,234.0,2.0,232.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1464738,item,162.0,3.0,159.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1524146,item,240.0,10.0,230.0,5,5,6,False,False,best score below threshold (0.000 < 0.400),False
1524147,item,241.0,24.0,217.0,8,8,13,False,False,best score below threshold (0.004 < 0.400),False
1958542,item,245.0,6.0,239.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1857138,item,134.0,109.0,25.0,58,58,110,False,False,best score below threshold (0.099 < 0.400),False
103307,item,12.0,12.0,0.0,1,1,1,False,False,DC exhausted,False
1870614,item,6.0,6.0,0.0,3,3,1,False,False,DC exhausted,False
1921983,item,2164.0,2.0,2162.0,1,1,3,False,False,no eligible row above threshold,False
1967920,item,179.0,12.0,167.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1858897,item,78.0,6.0,72.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1958543,item,44.0,12.0,32.0,2,2,3,False,False,best score below threshold (0.101 < 0.400),False
107494,item,156.0,76.0,80.0,425,425,20,False,False,best score below threshold (0.141 < 0.435),False
1283313,item,78.0,6.0,72.0,353,353,4,False,False,best score below threshold (0.008 < 0.435),False
1916684,item,4.0,0.0,4.0,1,1,1,False,False,no eligible row above threshold,False
701082,item,41.0,20.0,21.0,14,14,6,False,False,best score below threshold (0.001 < 0.435),False
701566,item,1.0,1.0,0.0,11,11,1,True,False,DC exhausted,False
1476608,item,20.0,0.0,20.0,12,12,1,False,False,no eligible row above threshold,False
1633678,item,838.0,402.0,436.0,390,390,202,False,False,best score below threshold (0.361 < 0.435),False
1930593,item,4.0,2.0,2.0,2,2,3,False,False,best score below threshold (0.023 < 0.435),False
1665336,item,665.0,570.0,95.0,373,373,286,False,False,best score below threshold (0.427 < 0.435),False
1770744,item,1.0,0.0,1.0,116,116,1,False,False,no eligible row above threshold,False
1476610,item,2.0,2.0,0.0,38,38,1,True,False,DC exhausted,False
1532612,item,5.0,0.0,5.0,64,64,1,False,False,best score below threshold (0.016 < 0.500),False
1508310,item,220.0,220.0,0.0,84,84,110,False,False,DC exhausted,False
1862822,item,98.0,98.0,0.0,118,118,49,False,False,DC exhausted,False
1862824,item,104.0,94.0,10.0,248,248,95,False,False,best score below threshold (0.397 < 0.435),False
1862825,item,132.0,132.0,0.0,98,98,132,False,False,DC exhausted,False
1862826,item,123.0,108.0,15.0,132,132,109,False,False,best score below threshold (0.391 < 0.435),False
1864202,item,92.0,86.0,6.0,117,117,87,False,False,best score below threshold (0.404 < 0.435),False
1864204,item,100.0,94.0,6.0,135,135,48,False,False,best score below threshold (0.364 < 0.435),False
1697039,item,72.0,35.0,37.0,135,135,36,False,False,best score below threshold (0.364 < 0.435),False
1736838,item,6.0,4.0,2.0,14,14,5,False,False,best score below threshold (0.048 < 0.435),False
1858859,item,4.0,1.0,3.0,7,7,2,False,False,best score below threshold (0.122 < 0.435),False
1858867,item,2.0,1.0,1.0,17,17,2,False,False,best score below threshold (0.169 < 0.435),False
1858868,item,6.0,0.0,6.0,48,48,1,False,False,no eligible row above threshold,False
1858870,item,6.0,5.0,1.0,83,83,6,False,False,best score below threshold (0.108 < 0.435),False
1858876,item,4.0,3.0,1.0,21,21,4,False,False,best score below threshold (0.009 < 0.435),False
1448526,item,2.0,2.0,0.0,17,17,1,False,False,DC exhausted,False
1433381,item,1.0,0.0,1.0,13,13,1,False,False,best score below threshold (0.470 < 0.500),False
1201265,item,1160.0,1120.0,40.0,242,242,113,False,False,best score below threshold (0.358 < 0.435),False
1854423,item,300.0,180.0,120.0,27,27,16,False,False,best score below threshold (0.401 < 0.435),False
1854425,item,228.0,168.0,60.0,22,22,15,False,False,best score below threshold (0.405 < 0.435),False
1868544,item,296.0,296.0,0.0,49,49,37,False,False,DC exhausted,False
1381859,item,2.0,0.0,2.0,120,120,1,False,False,no eligible row above threshold,False
1738936,item,8.0,0.0,8.0,7,7,1,False,False,no eligible row above threshold,False
1285126,item,228.0,144.0,84.0,53,53,13,False,False,best score below threshold (0.065 < 0.435),False
1529926,item,79.0,68.0,11.0,98,98,69,False,False,best score below threshold (0.405 < 0.435),False
706126,item,1.0,0.0,1.0,123,123,1,False,False,no eligible row above threshold,False
1440596,item,108.0,84.0,24.0,25,25,8,False,False,best score below threshold (0.041 < 0.435),False
1912644,item,33.0,6.0,27.0,77,77,7,False,False,best score below threshold (0.310 < 0.435),False
1988400,item,274.0,192.0,82.0,157,157,17,False,False,best score below threshold (0.036 < 0.435),False
1520097,item,84.0,84.0,0.0,36,36,21,False,False,DC exhausted,False
1533422,item,92.0,92.0,0.0,38,38,23,False,False,DC exhausted,False
1833765,item,48.0,48.0,0.0,34,34,12,False,False,DC exhausted,False
1833772,item,120.0,120.0,0.0,63,63,30,False,False,DC exhausted,False
1936049,item,380.0,380.0,0.0,86,86,32,True,False,DC exhausted,False
1936053,item,236.0,236.0,0.0,82,82,20,True,False,DC exhausted,False
1936054,item,480.0,468.0,12.0,55,55,40,False,False,best score below threshold (0.402 < 0.435),False
1948560,item,567.0,567.0,0.0,107,107,57,True,False,DC exhausted,False
1994689,item,46.0,46.0,0.0,28,28,12,True,False,DC exhausted,False
1917046,item,22.0,22.0,0.0,76,76,4,True,False,DC exhausted,False
1855709,item,144.0,64.0,80.0,121,121,9,False,False,best score below threshold (0.017 < 0.435),False
1855710,item,256.0,144.0,112.0,114,114,19,False,False,best score below threshold (0.162 < 0.435),False
1855711,item,240.0,96.0,144.0,106,106,13,False,False,best score below threshold (0.007 < 0.435),False
100364,item,120.0,72.0,48.0,49,49,73,False,False,best score below threshold (0.145 < 0.435),False
100365,item,61.0,21.0,40.0,143,143,22,False,False,best score below threshold (0.022 < 0.435),False
100366,item,26.0,17.0,9.0,168,168,18,False,False,best score below threshold (0.026 < 0.435),False
100367,item,1.0,1.0,0.0,77,77,1,False,False,DC exhausted,False
100370,item,1.0,0.0,1.0,6,6,1,False,False,no eligible row above threshold,False
106550,item,62.0,21.0,41.0,173,173,22,False,False,best score below threshold (0.421 < 0.435),False
107852,item,60.0,28.0,32.0,43,43,29,False,False,best score below threshold (0.016 < 0.435),False
1016042,item,12.0,5.0,7.0,39,39,6,False,False,best score below threshold (0.151 < 0.435),False
1394153,item,52.0,16.0,36.0,274,274,9,False,False,best score below threshold (0.160 < 0.435),False
1900486,item,1.0,1.0,0.0,5,5,1,False,False,DC exhausted,False
100054,item,8.0,8.0,0.0,2,2,1,True,False,DC exhausted,False
101536,item,13.0,6.0,7.0,73,73,2,False,False,best score below threshold (0.003 < 0.435),False
101949,item,6.0,4.0,2.0,27,27,3,False,False,best score below threshold (0.003 < 0.435),False
105245,item,2.0,0.0,2.0,23,23,1,False,False,no eligible row above threshold,False
105247,item,19.0,4.0,15.0,7,7,2,False,False,best score below threshold (0.001 < 0.435),False
1006544,item,79.0,20.0,59.0,152,152,11,False,False,best score below threshold (0.010 < 0.435),False
1262335,item,6.0,2.0,4.0,8,8,2,False,False,best score below threshold (0.003 < 0.435),False
1385761,item,14.0,14.0,0.0,11,11,7,False,False,DC exhausted,False
1731056,item,5.0,5.0,0.0,25,25,5,False,False,DC exhausted,False
1801282,item,1.0,0.0,1.0,12,12,1,False,False,no eligible row above threshold,False
1857813,item,3.0,2.0,1.0,8,8,2,False,False,best score below threshold (0.387 < 0.500),False
1857817,item,2.0,2.0,0.0,4,4,2,False,False,DC exhausted,False
1857818,item,5.0,4.0,1.0,4,4,5,False,False,best score below threshold (0.021 < 0.435),False
1857819,item,10.0,10.0,0.0,18,18,10,False,False,DC exhausted,False
1872124,item,8.0,4.0,4.0,9,9,5,False,False,best score below threshold (0.000 < 0.435),False
1364144,item,3.0,3.0,0.0,5,5,3,False,False,DC exhausted,False
1776842,item,9.0,8.0,1.0,53,53,5,False,False,best score below threshold (0.086 < 0.500),False
1855889,item,2.0,2.0,0.0,19,19,1,False,False,DC exhausted,False
1855890,item,2.0,2.0,0.0,24,24,2,False,False,DC exhausted,False
1855893,item,36.0,36.0,0.0,108,108,9,False,False,DC exhausted,False
1855895,item,10.0,9.0,1.0,13,13,4,False,False,best score below threshold (0.112 < 0.500),False
1474636,item,1.0,1.0,0.0,6,6,1,False,False,DC exhausted,False
108076,item,7.0,5.0,2.0,23,23,6,False,False,best score below threshold (0.006 < 0.435),False
1015538,item,15.0,6.0,9.0,34,34,4,False,False,best score below threshold (0.003 < 0.435),False
1680070,item,41.0,20.0,21.0,16,16,6,False,False,best score below threshold (0.004 < 0.435),False
1866322,item,8.0,6.0,2.0,9,9,2,False,False,best score below threshold (0.044 < 0.500),False
1866324,item,1.0,1.0,0.0,32,32,1,True,False,DC exhausted,False
1870224,item,15.0,12.0,3.0,15,15,13,False,False,best score below threshold (0.032 < 0.435),False
1904923,item,2.0,2.0,0.0,7,7,2,False,False,DC exhausted,False
1904925,item,3.0,3.0,0.0,26,26,3,False,False,DC exhausted,False
1015817,item,34.0,24.0,10.0,43,43,13,False,False,best score below threshold (0.002 < 0.435),False
1980257,item,1.0,1.0,0.0,5,5,1,False,False,DC exhausted,False
1875460,item,4.0,4.0,0.0,12,12,4,False,False,DC exhausted,False
1895466,item,47.0,17.0,30.0,174,174,18,False,False,best score below threshold (0.010 < 0.435),False
1895468,item,60.0,24.0,36.0,184,184,25,False,False,best score below threshold (0.368 < 0.435),False
1941208,item,2.0,1.0,1.0,8,8,2,False,False,best score below threshold (0.000 < 0.435),False
1174016,item,120.0,108.0,12.0,74,74,55,False,False,best score below threshold (0.034 < 0.435),False
1215003,item,72.0,54.0,18.0,72,72,55,False,False,best score below threshold (0.258 < 0.435),False
1866335,item,1.0,1.0,0.0,2,2,1,True,False,DC exhausted,False
1895465,item,60.0,37.0,23.0,50,50,38,False,False,best score below threshold (0.176 < 0.435),False
1952629,item,6.0,6.0,0.0,55,55,6,False,False,DC exhausted,False
1960559,item,480.0,435.0,45.0,145,145,436,False,False,best score below threshold (0.002 < 0.435),False
100670,item,10.0,10.0,0.0,12,12,5,False,False,DC exhausted,False
1528513,item,8.0,0.0,8.0,12,12,1,False,False,no eligible row above threshold,False
1917047,item,120.0,64.0,56.0,62,62,9,False,False,best score below threshold (0.005 < 0.435),False
1990148,item,1.0,1.0,0.0,1,1,1,True,False,DC exhausted,False
1918091,item,10.0,6.0,4.0,3,3,2,False,False,best score below threshold (0.201 < 0.500),False
100820,item,144.0,36.0,108.0,19,19,4,False,False,best score below threshold (0.125 < 0.435),False
100903,item,84.0,42.0,42.0,113,113,8,False,False,best score below threshold (0.000 < 0.435),False
100909,item,12.0,12.0,0.0,55,55,2,False,False,DC exhausted,False
1317575,item,50.0,50.0,0.0,3,3,1,False,False,DC exhausted,False
1298555,item,75.0,68.0,7.0,66,66,18,False,False,best score below threshold (0.026 < 0.435),False
1307113,item,12.0,12.0,0.0,61,61,6,False,False,DC exhausted,False
1721335,item,30.0,20.0,10.0,181,181,11,False,False,best score below threshold (0.012 < 0.435),False
1967922,item,4.0,0.0,4.0,7,7,1,False,False,best score below threshold (0.006 < 0.435),False
1512101,item,22.0,22.0,0.0,8,8,3,True,False,DC exhausted,False
1501179,item,36.0,36.0,0.0,22,22,3,False,False,DC exhausted,False
1960228,item,6.0,6.0,0.0,8,8,1,False,False,DC exhausted,False
1960234,item,1.0,1.0,0.0,3,3,1,True,False,DC exhausted,False
108061,item,23.0,0.0,23.0,1,1,1,False,False,best score below threshold (0.238 < 0.500),False
1955392,item,23.0,0.0,23.0,1,1,1,False,False,best score below threshold (0.027 < 0.500),False
1262954,item,108.0,108.0,0.0,50,50,9,False,False,DC exhausted,False
1740722,item,108.0,36.0,72.0,15,15,4,False,False,best score below threshold (0.001 < 0.435),False
1836976,item,12.0,12.0,0.0,31,31,1,False,False,DC exhausted,False
1004990,item,1.0,0.0,1.0,2,2,1,False,False,no eligible row above threshold,False
1987289,item,6.0,6.0,0.0,3,3,6,False,False,DC exhausted,False
1643347,item,140.0,120.0,20.0,22,22,13,False,False,best score below threshold (0.004 < 0.435),False
