segment,rows,mae_units,rmse_units,exact_rate,within_1_flm_rate,false_positives,false_negatives,pred_units,actual_units,unit_delta,negative_violations,row_over_dc_violations
all,33567,0.17290791551225906,1.4333797167322762,0.9532874549408645,0.9948163374743051,216,547,90083.0,92437.0,-2354.0,0,0
allocate,15380,0.22301690507152144,1.8533700370266712,0.9481144343302991,0.9932379713914175,156,109,73180.0,73622.0,-442.0,0,0
review,18187,0.13053279815252652,0.9419273540273817,0.9576620663111013,0.9961510969373728,60,438,16903.0,18815.0,-1912.0,0,0
model_segment::Allocate,15380,0.22301690507152144,1.8533700370266712,0.9481144343302991,0.9932379713914175,156,109,73180.0,73622.0,-442.0,0,0
model_segment::Review,18187,0.13053279815252652,0.9419273540273817,0.9576620663111013,0.9961510969373728,60,438,16903.0,18815.0,-1912.0,0,0
